time_s	ch1	ch2	ch3
2.942000	1.321289	1.261230	1.306641
2.942000	1.412109	1.382812	1.327148
2.944000	1.272217	1.302979	1.297852
2.944000	1.308838	1.296387	1.274414
2.944000	1.300049	1.335938	1.308838
2.945000	1.308838	1.266357	1.296387
2.945000	1.301514	1.403320	1.313965
2.946000	1.296387	1.331543	1.319092
2.946000	1.337402	1.333008	1.276611
2.947000	1.381348	1.294189	1.261230
2.947000	1.308105	1.341064	1.286133
2.948000	1.316895	1.348389	1.319824
2.949000	1.305908	1.281006	1.327881
2.949000	1.304443	1.306641	1.318359
2.950000	1.308838	1.505127	1.291260
2.951000	1.309570	1.341797	1.299316
2.951000	1.333008	1.253906	1.323486
2.952000	1.144775	1.194580	1.341797
2.987000	1.295654	1.347656	1.294922
2.988000	1.308838	1.479492	1.308105
2.988000	1.328613	1.311035	1.293457
2.989000	1.314697	1.031250	1.302246
2.989000	1.314697	1.409180	1.289795
2.992000	1.303711	1.292725	1.332275
2.997000	1.310303	1.247314	1.316895
2.997000	1.310303	1.448730	1.292725
2.998000	1.190918	1.323486	1.274414
2.998000	1.302979	1.294189	1.248779
2.999000	1.343994	1.286133	1.373291
2.999000	1.297852	1.343994	1.316162
2.999000	1.300049	1.304443	1.352051
3.000000	1.308838	1.357910	1.319824
3.000000	1.302246	1.322754	1.335938
3.001000	1.316895	1.229736	1.297119
3.001000	1.316162	1.270020	1.278809
3.001000	1.296387	1.354980	1.286133
3.002000	1.305908	1.382812	1.325684
3.002000	1.305176	1.235596	1.323486
3.003000	1.324219	1.279541	1.297852
3.003000	1.305908	1.309570	1.264893
3.003000	1.287598	1.373291	1.265625
3.004000	1.320557	1.291260	1.289062
3.004000	1.327148	1.313965	1.294922
3.036000	1.310303	1.341797	1.298584
3.038000	1.231201	1.281738	1.320557
3.038000	1.302979	1.311768	1.319092
3.039000	1.324219	1.328613	1.297119
3.039000	1.316162	1.401123	1.326416
3.040000	1.311768	1.361572	1.286865
3.041000	1.308838	1.279541	1.300049
3.041000	1.317627	1.122803	1.281738
3.042000	1.311768	1.297119	1.336670
3.042000	1.330078	1.355713	1.305176
3.043000	1.311768	1.332275	1.316162
3.044000	1.320557	1.359375	1.317627
3.044000	1.312500	1.300781	1.237793
3.045000	1.286133	1.361572	1.268555
3.046000	1.294922	1.283936	1.338867
3.046000	1.349854	1.337402	1.315430
3.047000	1.336670	1.332275	1.327881
3.048000	1.298584	1.211426	1.346191
3.048000	1.308105	1.283203	1.303711
3.049000	1.307373	1.317627	1.315430
3.049000	1.316162	1.274414	1.420898
3.050000	1.294189	1.294189	1.320557
3.051000	1.303711	1.297852	1.327148
3.052000	1.324219	1.322021	1.231934
3.057000	1.245117	1.343994	1.267822
3.090000	1.303711	1.326416	1.328613
3.090000	1.309570	1.343262	1.296387
3.091000	1.295654	1.349854	1.283203
3.091000	1.318359	1.322754	1.308105
3.091000	1.335938	1.424561	1.297852
3.092000	1.303711	1.264893	1.340332
3.092000	1.327881	1.242188	1.276611
3.093000	1.300049	1.337402	1.318359
3.093000	1.302979	1.311768	1.302979
3.094000	1.308105	1.302979	1.294922
3.094000	1.345459	1.255371	1.315430
3.094000	1.323486	1.354980	1.320557
3.094000	1.304443	1.401123	1.311035
3.096000	1.330811	1.316895	1.303711
3.096000	1.317627	1.269287	1.286865
3.097000	1.299316	1.297852	1.287598
3.097000	1.307373	1.381348	1.308105
3.097000	1.318359	1.321289	1.312500
3.098000	1.314697	1.253906	1.349121
3.099000	1.305176	1.287598	1.300049
3.099000	1.315430	1.339600	1.295654
3.100000	1.319092	1.380615	1.304443
3.101000	1.313232	1.392334	1.310303
3.101000	1.319092	1.267822	1.326416
3.102000	1.315430	1.272217	1.313232
3.136000	1.305176	1.259033	1.310303
3.137000	1.307373	1.289062	1.245850
3.137000	1.317627	1.429688	1.270752
3.138000	1.328613	1.348389	1.338867
3.139000	1.308838	1.393799	1.321289
3.139000	1.303711	1.319824	1.312500
3.140000	1.322754	1.291992	1.368164
3.141000	1.282471	1.287598	1.286865
3.141000	1.315430	1.325684	1.302979
3.142000	1.329346	1.386475	1.316162
3.142000	1.323486	1.371826	1.222412
3.144000	1.308105	1.286133	1.311768
3.149000	1.285400	1.324951	1.313965
3.149000	1.323486	1.293457	1.338867
3.150000	1.349854	1.275879	1.237061
3.150000	1.327881	1.341797	1.289795
3.151000	1.304443	1.444336	1.330078
3.151000	1.329346	1.116943	1.291260
3.151000	1.311768	1.451660	1.302246
3.152000	1.305908	1.412842	1.311035
3.152000	1.313232	1.198242	1.289062
3.152000	1.318359	1.219482	1.308838
3.153000	1.318359	1.350586	1.300049
3.153000	1.313965	1.298584	1.346924
3.153000	1.302246	1.346924	1.334473
3.186000	1.365234	1.305176	1.284668
3.187000	1.322754	1.407715	1.327148
3.187000	1.305908	1.359375	1.303711
3.188000	1.321289	1.286865	1.313232
3.189000	1.313965	1.338135	1.267090
3.189000	1.303711	1.340332	1.289795
3.190000	1.313965	1.292725	1.306641
3.191000	1.291260	1.338135	1.282471
3.191000	1.307373	1.294922	1.283203
3.192000	1.333008	1.308838	1.300049
3.193000	1.322021	1.377686	1.390137
3.193000	1.297119	1.368164	1.385742
3.195000	1.317627	1.220947	1.243652
3.195000	1.292725	1.198242	1.253174
3.196000	1.311768	1.396729	1.302246
3.196000	1.319824	1.320557	1.306641
3.196000	1.317627	1.260498	1.308838
3.196000	1.322754	1.353516	1.318359
3.197000	1.292725	1.352783	1.320557
3.198000	1.314697	1.289062	1.313965
3.198000	1.315430	1.254639	1.308105
3.199000	1.315430	1.330078	1.341797
3.199000	1.305908	1.323486	1.286133
3.200000	1.309570	1.392334	1.263428
3.201000	1.308105	1.289795	1.315430
3.236000	1.324951	1.378418	1.312500
3.242000	1.300049	1.289062	1.313232
3.243000	1.305908	1.192383	1.329346
3.243000	1.298584	1.314697	1.272949
3.244000	1.320557	1.312500	1.360107
3.244000	1.320557	1.354248	1.327881
3.245000	1.308838	1.368164	1.318359
3.245000	1.302979	1.272949	1.327148
3.246000	1.330078	1.327148	1.299316
3.246000	1.301514	1.376953	1.323486
3.247000	1.306641	1.423096	1.300049
3.247000	1.312500	1.200439	1.264893
3.247000	1.319824	1.272217	1.272949
3.248000	1.286133	1.317627	1.334473
3.248000	1.316162	1.352051	1.319824
3.249000	1.294922	1.223145	1.345459
3.249000	1.305908	1.290527	1.286865
3.249000	1.261230	1.364502	1.311035
3.250000	1.315430	1.370361	1.309570
3.250000	1.308838	1.248779	1.311035
3.250000	1.306641	1.267822	1.294189
3.251000	1.313965	1.387207	1.312500
3.251000	1.354248	1.329346	1.300049
3.251000	1.311768	1.363037	1.331543
3.252000	1.322754	1.290527	1.300049
3.286000	1.334473	1.232666	1.293457
3.286000	1.330078	1.305908	1.299316
3.287000	1.296387	1.321289	1.307373
3.288000	1.306641	1.345459	1.276611
3.288000	1.297852	1.298584	1.352783
3.289000	1.320557	1.366699	1.285400
3.289000	1.298584	1.411377	1.278809
3.290000	1.320557	1.296387	1.350586
3.291000	1.310303	1.228271	1.302246
3.291000	1.267822	1.269287	1.325684
3.292000	1.292725	1.374756	1.294922
3.293000	1.311768	1.442139	1.332275
3.293000	1.311768	1.316895	1.318359
3.294000	1.272949	1.232666	1.293457
3.295000	1.305908	1.318359	1.294922
3.295000	1.326416	1.252441	1.312500
3.296000	1.300049	1.360840	1.312500
3.297000	1.319092	1.330811	1.332275
3.297000	1.310303	1.299316	1.256104
3.298000	1.308105	1.305908	1.247314
3.299000	1.313232	1.461182	1.320557
3.300000	1.272217	1.286133	1.340332
3.305000	1.307373	1.099365	1.326416
3.305000	1.304443	1.349121	1.296387
3.306000	1.301514	1.343262	1.293457
3.335000	1.311768	1.427490	1.269287
3.336000	1.304443	1.400391	1.308105
3.337000	1.277344	1.256836	1.346924
3.337000	1.305176	1.218750	1.337402
3.337000	1.320557	1.285400	1.292725
3.338000	1.326416	1.324951	1.311035
3.339000	1.321289	1.358643	1.303711
3.339000	1.325684	1.369629	1.338867
3.340000	1.323486	1.281006	1.285400
3.341000	1.341064	1.281006	1.304443
3.341000	1.285400	1.311035	1.342529
3.342000	1.278809	1.299316	1.295654
3.343000	1.289795	1.294189	1.336670
3.343000	1.301514	1.262695	1.252441
3.344000	1.305908	1.305176	1.348389
3.344000	1.314697	1.308105	1.264160
3.345000	1.289795	1.311035	1.297119
3.346000	1.349121	1.238525	1.307373
3.346000	1.327148	1.398926	1.281738
3.347000	1.280273	1.465576	1.291260
3.347000	1.305908	1.235596	1.300049
3.348000	1.322754	1.312500	1.317627
3.349000	1.290527	1.301514	1.360840
3.349000	1.306641	1.308105	1.327148
3.350000	1.315430	1.346924	1.283203
3.384000	1.311768	1.287598	1.314697
3.385000	1.313232	1.295654	1.323486
3.386000	1.294189	1.374023	1.318359
3.387000	1.311768	1.347656	1.284668
3.387000	1.302979	1.352051	1.272217
3.388000	1.302979	1.346191	1.283203
3.388000	1.308105	1.168213	1.296387
3.389000	1.297119	1.172607	1.315430
3.390000	1.321289	1.317627	1.320557
3.391000	1.319092	1.379883	1.315430
3.391000	1.248779	1.344727	1.305176
3.392000	1.330078	1.349854	1.313965
3.398000	1.297852	1.376221	1.343262
3.398000	1.305908	1.236328	1.305908
3.398000	1.297119	1.177734	1.283203
3.399000	1.291992	1.383545	1.265625
3.399000	1.310303	1.302246	1.304443
3.400000	1.297119	1.319092	1.317627
3.400000	1.320557	1.301514	1.303711
3.400000	1.311035	1.270020	1.322754
3.401000	1.275879	1.296387	1.302979
3.401000	1.303711	1.289795	1.323486
3.402000	1.293457	1.290527	1.313965
3.402000	1.305176	1.527832	1.338135
3.402000	1.291992	1.333008	1.308105
3.434000	1.311035	1.267090	1.310303
3.436000	1.300781	1.333740	1.242920
3.436000	1.334473	1.341797	1.319824
3.437000	1.276611	1.366699	1.338867
3.437000	1.310303	1.267090	1.333740
3.438000	1.308105	1.293457	1.236328
3.439000	1.310303	1.365234	1.273682
3.439000	1.305908	1.404053	1.237793
3.440000	1.299316	1.234863	1.276611
3.440000	1.318359	1.334473	1.367432
3.441000	1.338867	1.337402	1.300049
3.442000	1.342529	1.330078	1.329346
3.442000	1.268555	1.217285	1.436279
3.443000	1.329346	1.377686	1.308838
3.443000	1.302979	1.389404	1.260498
3.445000	1.309570	1.335938	1.250244
3.446000	1.316895	1.319824	1.319824
3.446000	1.280273	1.265625	1.294922
3.447000	1.317627	1.311035	1.291260
3.447000	1.316162	1.379150	1.290527
3.447000	1.320557	1.410645	1.308105
